Date,8001.T,8002.T,8031.T,8053.T,8058.T,AAPL,ALLY,AMZN,AON,AXP,BAC,BATRK,BYDDF,C,CHTR,COF,CVX,DEO,DHI,DVA,FND,FWONK,GL,HPQ,JEF,KHC,KO,KR,LEN-B,LILA,LILAK,LLYVA,LLYVK,LPX,LSXMA,LSXMK,MA,MCO,MKL,NU,NVR,OXY,PARA,SIRI,SNOW,SPY,STNE,TMUS,V,VOO,VRSN
2023-10-16,5418.0,2271.5,5430.0,2997.0,7103.0,178.48486328125,24.814428329467773,132.5500030517578,327.0872497558594,152.7899932861328,26.776288986206055,36.70000076293945,31.010000228881836,40.42512893676758,454.45001220703125,96.59214782714844,163.68418884277344,153.38999938964844,104.275146484375,74.56999969482422,84.68000030517578,68.41999816894531,115.05000305175781,26.63571548461914,33.53821563720703,31.21990966796875,53.00791931152344,43.9992790222168,102.11000061035156,7.5,7.489999771118164,31.959999084472656,32.599998474121094,54.34817123413086,26.270000457763672,26.299999237060547,401.1600036621094,320.7397155761719,1505.6199951171875,7.900000095367432,5916.22021484375,65.16167449951172,12.221030235290527,4.813600063323975,162.1300048828125,434.2792663574219,9.760000228881836,142.617431640625,239.55999755859375,400.57000732421875,211.17999267578125
2023-10-17,5457.0,2270.5,5467.0,3001.0,7141.0,176.9169158935547,25.081037521362305,131.47000122070312,326.8876647949219,154.38999938964844,27.40130043029785,36.810001373291016,31.709999084472656,40.67192459106445,452.67999267578125,97.47703552246094,165.85147094726562,153.47999572753906,104.68418884277344,76.37999725341797,84.91000366210938,70.9000015258789,116.08999633789062,26.853717803955078,33.875186920166016,31.150707244873047,53.64286422729492,44.197967529296875,102.62999725341797,7.380000114440918,7.380000114440918,31.8700008392334,32.380001068115234,55.5134162902832,26.219999313354492,26.299999237060547,401.7699890136719,320.7197265625,1500.9100341796875,7.880000114440918,5840.0,65.32115936279297,12.420393943786621,4.694254398345947,159.38999938964844,434.25933837890625,10.039999961853027,142.14947509765625,240.68759155273438,400.5799865722656,214.27000427246094
2023-10-18,5425.0,2260.0,5602.0,2998.0,7134.0,175.608642578125,25.298276901245117,128.1300048828125,324.35272216796875,151.52999877929688,27.093753814697266,35.599998474121094,32.290000915527344,39.9512825012207,448.32000732421875,95.379150390625,167.16766357421875,152.30999755859375,102.20001983642578,78.73999786376953,85.73999786376953,69.44000244140625,114.7699966430664,26.79426383972168,32.358829498291016,31.36819839477539,53.62302017211914,43.93967056274414,100.30999755859375,7.260000228881836,7.28000020980835,31.280000686645508,31.8700008392334,54.70670700073242,25.520000457763672,25.600000381469727,393.2099914550781,313.3553466796875,1498.1700439453125,7.710000038146973,5746.58984375,66.28807067871094,12.151251792907715,4.574909210205078,153.22999572753906,428.4727783203125,10.09000015258789,139.08285522460938,236.96551513671875,395.2200012207031,213.0399932861328
2023-10-19,5296.0,2209.5,5462.0,2938.5,6939.0,175.22915649414062,24.310832977294922,128.39999389648438,318.4444885253906,149.6199951171875,26.746524810791016,35.41999816894531,31.65999984741211,39.54653549194336,435.8699951171875,92.16769409179688,167.34580993652344,153.42999267578125,101.0028305053711,81.62000274658203,84.29000091552734,68.4000015258789,113.58999633789062,26.209625244140625,31.873199462890625,31.091392517089844,53.920650482177734,44.2078971862793,97.66000366210938,7.079999923706055,7.110000133514404,30.610000610351562,31.209999084472656,53.780487060546875,25.15999984741211,25.229999542236328,387.8699951171875,310.9205017089844,1479.3299560546875,8.229999542236328,5563.5498046875,66.2481918334961,11.742555618286133,4.53512716293335,153.42999267578125,424.7080383300781,10.119999885559082,137.2408905029297,233.3132781982422,391.8699951171875,211.66000366210938
2023-10-20,5312.0,2215.5,5518.0,2951.0,6947.0,172.6525421142578,23.747989654541016,125.16999816894531,313.494384765625,141.57000732421875,26.101673126220703,35.27000045776367,31.0,39.17140579223633,429.6499938964844,89.71188354492188,165.09934997558594,151.97000122070312,100.4241943359375,77.5199966430664,82.33999633789062,66.91000366210938,110.25,25.773622512817383,31.972305297851562,30.952987670898438,54.138912200927734,43.840328216552734,96.04000091552734,7.039999961853027,7.070000171661377,30.709999084472656,31.270000457763672,53.232723236083984,24.959999084472656,25.010000228881836,384.4100036621094,308.9447326660156,1451.22998046875,8.170000076293945,5488.10009765625,64.97227478027344,11.463445663452148,4.445618152618408,147.6699981689453,419.4892272949219,9.949999809265137,136.39459228515625,232.8842010498047,386.989990234375,208.1199951171875
2023-10-23,5239.0,2173.5,5391.0,2901.5,6852.0,172.7723846435547,23.007408142089844,126.55999755859375,312.8556823730469,144.58999633789062,25.36753273010254,34.189998626708984,31.0,38.39153289794922,430.2699890136719,89.86101531982422,159.0131378173828,152.33999633789062,101.88077545166016,78.87000274658203,82.19999694824219,67.55000305175781,111.20999908447266,25.644804000854492,31.774091720581055,30.765155792236328,53.65278625488281,43.03564453125,97.22000122070312,6.989999771118164,7.019999980926514,29.520000457763672,30.100000381469727,52.46585464477539,24.6299991607666,24.729999542236328,383.6700134277344,308.3958740234375,1435.760009765625,8.15999984741211,5505.68994140625,62.61979675292969,11.154430389404297,4.455563545227051,148.58999633789062,418.76214599609375,10.010000228881836,137.14134216308594,231.0381317138672,386.30999755859375,206.4199981689453
2023-10-24,5318.0,2181.0,5349.0,2912.0,6859.0,173.21180725097656,22.47418975830078,128.55999755859375,319.13311767578125,144.4199981689453,25.26832389831543,35.20000076293945,31.440000534057617,38.4310188293457,431.17999267578125,88.68778991699219,155.0249481201172,154.13999938964844,101.52161407470703,81.11000061035156,80.76000213623047,68.02999877929688,111.27999877929688,25.922260284423828,32.34891891479492,31.348426818847656,55.20045852661133,43.3237419128418,96.80999755859375,7.0,7.039999961853027,30.079999923706055,30.700000762939453,52.30650329589844,24.65999984741211,24.770000457763672,386.9100036621094,304.963134765625,1472.5699462890625,8.079999923706055,5385.52001953125,62.330718994140625,11.114557266235352,4.4157819747924805,151.1199951171875,421.91937255859375,10.09000015258789,140.4568634033203,234.1514892578125,389.20001220703125,206.8699951171875
2023-10-25,5382.0,2194.0,5428.0,2951.5,7016.0,170.87489318847656,23.14565086364746,121.38999938964844,319.01336669921875,143.52000427246094,25.34769058227539,34.790000915527344,30.770000457763672,38.11511993408203,423.7300109863281,88.45912170410156,154.2530517578125,153.94000244140625,100.4241943359375,78.5999984741211,78.8499984741211,65.31999969482422,112.02999877929688,25.793441772460938,31.863290786743164,31.714210510253906,55.676666259765625,43.9992790222168,94.81999969482422,6.769999980926514,6.800000190734863,29.90999984741211,30.420000076293945,51.031707763671875,24.350000381469727,24.450000762939453,386.30999755859375,313.5948486328125,1461.6199951171875,7.980000019073486,5377.2900390625,63.068363189697266,10.905224800109863,4.336218357086182,142.39999389648438,415.8638916015625,9.819999694824219,140.37721252441406,236.34683227539062,383.7099914550781,206.47000122070312
2023-10-26,5343.0,2185.0,5328.0,2935.5,6908.0,166.67042541503906,23.254268646240234,119.56999969482422,319.0732421875,143.33999633789062,25.913177490234375,34.439998626708984,31.0,38.83576583862305,411.7099914550781,88.99601745605469,153.14466857910156,152.75,101.41187286376953,77.48999786376953,77.16000366210938,64.61000061035156,113.48999786376953,25.93216896057129,31.93266487121582,31.49671745300293,55.339351654052734,44.47612762451172,95.56999969482422,6.71999979019165,6.75,30.100000381469727,30.709999084472656,50.663211822509766,24.040000915527344,24.1200008392334,364.5899963378906,309.4336853027344,1461.1400146484375,7.989999771118164,5426.81982421875,63.068363189697266,10.865352630615234,4.206927299499512,140.83999633789062,410.88409423828125,9.710000038146973,142.23907470703125,230.78866577148438,379.0,204.52999877929688
2023-10-27,5419.0,2220.5,5481.0,2988.5,7054.0,167.99867248535156,23.234521865844727,127.73999786376953,306.268798828125,141.30999755859375,24.970699310302734,34.380001068115234,30.899999618530273,37.7498664855957,372.0,97.17875671386719,142.85255432128906,147.99000549316406,101.46175384521484,76.7699966430664,77.55000305175781,64.36000061035156,112.02999877929688,25.605167388916016,31.397480010986328,31.081506729125977,54.80362319946289,44.13835906982422,95.12000274658203,6.679999828338623,6.730000019073486,30.030000686645508,30.610000610351562,50.23495864868164,23.739999771118164,23.850000381469727,364.0799865722656,301.33087158203125,1432.25,8.010000228881836,5382.22021484375,62.03167724609375,10.665987968444824,4.097527027130127,143.3800048828125,409.0216369628906,9.600000381469727,139.39151000976562,228.78294372558594,377.32000732421875,192.6300048828125
2023-10-30,5363.0,2170.0,5375.0,2948.5,6924.0,170.06593322753906,23.589998245239258,132.7100067138672,308.1750183105469,143.27000427246094,25.486581802368164,35.029998779296875,31.399999618530273,38.4310188293457,389.79998779296875,99.96268463134766,144.57449340820312,152.25,101.8907470703125,76.63999938964844,80.8499984741211,65.30000305175781,113.36000061035156,25.922260284423828,31.704715728759766,31.25945472717285,55.7064323425293,44.654945373535156,96.31999969482422,6.760000228881836,6.769999980926514,30.829999923706055,31.450000762939453,51.02174758911133,24.030000686645508,24.110000610351562,372.4200134277344,305.6716613769531,1457.260009765625,8.079999923706055,5401.759765625,61.47346115112305,10.965034484863281,4.157199859619141,144.16000366210938,413.9118347167969,9.729999542236328,140.95469665527344,232.5848388671875,381.8599853515625,198.1300048828125
2023-10-31,5373.0,2178.0,5417.0,2938.5,6955.0,170.54531860351562,24.190000534057617,133.08999633789062,309.3999938964844,146.02999877929688,26.13143539428711,34.779998779296875,30.5,38.98384475708008,402.79998779296875,100.7083740234375,144.21823120117188,153.5,104.15542602539062,77.2300033569336,82.4000015258789,64.69000244140625,116.36000061035156,26.090715408325195,31.893020629882812,31.101276397705078,56.04374694824219,45.07218551635742,98.61000061035156,6.829999923706055,6.849999904632568,31.239999771118164,31.8700008392334,51.0715446472168,24.489999771118164,24.549999237060547,376.3500061035156,307.3481140136719,1470.52001953125,8.199999809265137,5412.6201171875,61.61301803588867,10.845416069030762,4.256654739379883,145.1300048828125,416.51129150390625,9.90999984741211,143.23472595214844,234.60055541992188,384.1700134277344,199.66000366210938
